round,stage,target_client_id,donor_client_id,target_local_seed,target_num_samples,donor_num_samples,target_dominant_class,donor_dominant_class,target_donor_label_cosine,target_baseline_loss,donor_baseline_loss,shadow_loss,norm_WA_minus_Wt_all,norm_WB_minus_Wt_all,norm_WBA_minus_WB_all,norm_WB_minus_WA_all,norm_WBA_minus_WA_all,recovery_pull_score_all,cos_WBA_minus_WB__WA_minus_Wt_all,cos_WBA_minus_WB__WB_minus_Wt_all,cos_WBA_minus_Wt__WA_minus_Wt_all,cos_WBA_minus_Wt__WB_minus_Wt_all,norm_WA_minus_Wt_conv,norm_WB_minus_Wt_conv,norm_WBA_minus_WB_conv,norm_WB_minus_WA_conv,norm_WBA_minus_WA_conv,recovery_pull_score_conv,cos_WBA_minus_WB__WA_minus_Wt_conv,cos_WBA_minus_WB__WB_minus_Wt_conv,cos_WBA_minus_Wt__WA_minus_Wt_conv,cos_WBA_minus_Wt__WB_minus_Wt_conv,norm_WA_minus_Wt_classifier,norm_WB_minus_Wt_classifier,norm_WBA_minus_WB_classifier,norm_WB_minus_WA_classifier,norm_WBA_minus_WA_classifier,recovery_pull_score_classifier,cos_WBA_minus_WB__WA_minus_Wt_classifier,cos_WBA_minus_WB__WB_minus_Wt_classifier,cos_WBA_minus_Wt__WA_minus_Wt_classifier,cos_WBA_minus_Wt__WB_minus_Wt_classifier
1,rounds_1_150,81,36,10180796,689,884,6,9,0.09014451244843609,0.8874662867614201,0.8666182067659166,0.8037182718515397,1.7919614722920703,2.127113246482132,1.651167636359738,2.751968957644212,3.0755164362449396,-0.1175694506662226,0.1239889256839783,-0.015255640839356658,0.0935505678042471,0.7864157405797243,1.5869364358255984,1.949099733127195,1.3979599161991232,2.4961084212210936,2.858825049138029,-0.14531284972769543,0.018179131650387873,0.012605008504555103,0.021866811777062282,0.8150939452949144,0.8316982772408882,0.8509496175989729,0.8782002740788604,1.1577933015310955,1.132622914754727,0.021739965797938576,0.44694406618911975,-0.11775163979021763,0.3811542490883855,0.6508083263633399
1,rounds_1_150,93,36,10192760,668,884,8,9,0.027156162527291396,0.8861415982246399,0.8666182067659166,0.8843203331742968,1.732630051291492,2.127113246482132,1.578381745962937,2.744249286786851,2.9667223694442533,-0.08106883136622334,0.14725374293466412,-0.06185545962630575,0.08998511430180349,0.789941590343218,1.5583762730349042,1.949099733127195,1.2586498913362927,2.477483659017971,2.758750888306182,-0.11352939837338827,0.021651364394149265,-0.005397410385919469,0.024195624177456476,0.8392063572396913,0.7566106090924526,0.8509496175989729,0.9520626658816159,1.1792866831243771,1.0899404834923594,0.07576291745727659,0.49995173295958356,-0.2400144619662498,0.37133303807774287,0.5585991622163264
2,rounds_1_150,1,38,10201039,189,121,6,7,0.20873557641447532,1.303469106554985,1.1176516592502594,1.4156353324651718,1.237557264536773,1.1657486469550986,1.125591353425346,1.6703820171005477,1.8189966087072074,-0.08897042118821719,0.14567973247154672,-0.13051960207270333,0.13534318602170012,0.6742384733785085,1.1179455841883115,1.0066231430431947,0.9039570920768029,1.4928311904381004,1.716437011768135,-0.1497864077079023,0.03179441848401568,-0.01937816408826676,0.032983221315482286,0.7382288352357942,0.5303774398405379,0.5876403408737455,0.6704384210962583,0.7488833696553122,0.6013014969505585,0.19706923492329798,0.4802328772186379,-0.3898998406360222,0.5499180628855287,0.4672044362450307
2,rounds_1_150,35,87,10234937,307,421,2,2,0.6637871831337683,1.347961940084185,1.0888064199023777,1.0836020716599055,1.9975746259381701,1.854693352744354,2.093990935439122,2.673947323916751,3.2912586978917497,-0.23086145656406276,0.08589228148237639,0.0020791555464436044,0.08927813494276428,0.6639100273639237,1.84662466183374,1.6989703251636845,1.9635720332416071,2.4874104576683154,3.161770247694423,-0.2711091721702612,0.016951717831143975,0.011525362105848178,0.024081158574077534,0.6592828474104296,0.7609094172949401,0.7431775688838337,0.7263553699669378,0.9800672574359809,0.9120522557798513,0.0693983001065337,0.538657892372186,-0.05637369512641738,0.4987413505079704,0.6956380411359365
3,rounds_1_150,45,80,10344910,288,812,1,7,0.24850368425334513,0.49092239836851753,0.9658798393081216,0.615690354257822,1.0225318454345707,2.6174205484631803,1.0518375723110553,2.784526908193433,2.8724237532678916,-0.031566168319588916,0.15371976190298914,-0.05057413892368367,0.08356000710580372,0.9253583448312149,0.9143547890884984,2.460855845009525,0.8888592349026269,2.6141949790533094,2.7285539847399845,-0.04374540024864104,0.04636532169297787,-0.0237076471036148,0.02805299802786977,0.9396182106411245,0.45733841807382214,0.8901637824813677,0.5620668719933708,0.9574383881345379,0.8959673186286194,0.06420368168617929,0.49643211858493,-0.17451377972008145,0.3847839298771241,0.8197231420329232
3,rounds_1_150,95,99,10394760,502,533,2,1,0.09288263567720431,0.9160126176747408,0.230800938335332,0.9181761440905658,2.651096431707871,1.3298065247158846,2.384668519581256,2.9571655420889438,3.451939912902443,-0.1673137211195792,0.1593442764937679,-0.07896796874781974,0.14780209578191034,0.43286289277070944,2.3667746533259195,1.2244872935810343,2.0535148186470065,2.662331675607718,3.3121747316565777,-0.24408794065845418,0.022725122887257147,-0.022575837703272327,0.020873892719001804,0.49772716419532875,1.1935757145645538,0.5180544830109743,1.211623063902699,1.2861683526010277,0.9705723265107609,0.24537691776666304,0.619972629822928,-0.30834234103818586,0.6606515311487831,0.12436223649129617
4,rounds_1_150,66,25,10465850,490,675,9,7,0.4039332939540289,0.6942640343308448,0.5148526651518686,0.8212838825583458,1.614159574965802,2.1107449903075213,1.668945639173128,2.598133590265125,2.917486972787491,-0.12291645961506448,0.14656981792285315,-0.033247833952494914,0.1287455799135375,0.7764601360462138,1.4742888659293683,1.9987664463870483,1.5023774314809082,2.447498108556534,2.822824946431467,-0.15335122693773617,0.05114809872143903,-0.008735632975299518,0.055154148774307396,0.7974697814439607,0.6565907972244034,0.6771468701941642,0.7261712069125876,0.8705407292898458,0.7351589475635617,0.15551458670603902,0.5902659849113885,-0.18489274962452276,0.5899592866652704,0.6054425065855751
4,rounds_1_150,89,32,10488781,533,318,0,1,0.011923152696707726,0.17524632335725157,0.43218021712132865,0.32411867017773066,1.1103713841385277,1.4779541822965216,1.274031863170322,1.8473110810865288,2.000346309675039,-0.08284215374191328,0.2074826322361237,-0.11877572802901218,0.1453628294810795,0.7237139131046665,1.0060164162617502,1.3743012774433576,1.0185766073662044,1.6887455306364267,1.9266784761053135,-0.140893308762285,0.061414048956140756,-0.018361958401056182,0.05123167766515182,0.7995167126189302,0.46952326951479845,0.5430683689193894,0.7649740552441838,0.7480441350765198,0.5365489902828143,0.2827308374953985,0.6418078271321445,-0.47640663161519564,0.6378823297632125,0.25668829479478544
5,rounds_1_150,38,96,10537937,121,181,7,9,0.7437479202371511,0.5158259173234304,0.4779629945755005,0.4567277953028679,0.9545022223937368,0.9906865714654891,1.0112603963397941,1.3196078170345693,1.5217040084971105,-0.1531486770946029,0.2239258559785722,-0.008055307901121897,0.21676965554245164,0.6968605531431248,0.8636699008337518,0.917937400960982,0.9591734117313778,1.2469439270578462,1.4767535121404352,-0.1842982511850575,0.16321910137685944,-0.013434688869633721,0.13349928513201537,0.6863216475192154,0.4060212278483425,0.3722386277368229,0.3198203685821155,0.4312115844676112,0.36608736381129936,0.15102613891209915,0.6226874376548504,0.031533910817688825,0.6898932481020746,0.7671760253101624
5,rounds_1_150,9,88,10509024,387,338,4,0,0.35711158278179683,0.6144362324848771,0.5247220405510493,0.7627644021064043,1.4962560008227683,1.3227256103957645,1.6608744953408272,1.9532458710552163,2.3665237340647143,-0.21158517170510116,0.16302907157154453,-0.037087573442190866,0.15766531926164506,0.6050016476933555,1.382321628717719,1.2282794970177402,1.546884498912554,1.8325819606956633,2.299550876784181,-0.2548147510473433,0.0852797965067134,-0.02593882260488745,0.07898412772926477,0.6092739291957067,0.5720556421094013,0.4902644412301026,0.603931531594898,0.6750332847924858,0.5574248304503222,0.17422615594180368,0.6444822071705976,-0.10869508178811145,0.6623602213200469,0.5774465017737862
