round,algorithm,seed,test_accuracy,round_train_seconds,selected_clients,task_seeds,global_state_sha256,total_reset_slots,targeted_reset_slots,replaced_reset_slots,targeted_clients,fallback_clients,fallback_client_layers,history_memory_bytes,source_support_sha256,rng_unchanged,failed_client_updates
1,HistoryIdentityPopulation,1,10.0,16.715997200022684,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[200001, 200998, 201995, 202992, 203989, 204986, 205983, 206980, 207977, 208974]",a54a841b1d8aaeb288f234a154b547d09329b79e22caa07bce35605dcd56155e,660,0,0,0,0,0,0,5387a7c214ea798ee57dcad4033bcfbd9e2bb3ef516f86f58e3eaed946651bf0,True,0
2,HistoryIdentityPopulation,1,13.229999542236328,9.17196520001744,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[300004, 301001, 301998, 302995, 303992, 304989, 305986, 306983, 307980, 308977]",2194ac717a388eb692c5e8dbcfd4582c630ebbca68c3432af3aa44c25f01c179,660,0,0,0,0,0,211200,0231df7543372f105eaa768b9ad31397d74afd66f419e8f01d88df418d0f0214,True,0
3,HistoryIdentityPopulation,1,12.229999542236328,9.275654800003394,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[400007, 401004, 402001, 402998, 403995, 404992, 405989, 406986, 407983, 408980]",464268fdecd2a7461cd6b6d423aeb6f70e76c845b2bdb10244a52cdd3f26ab5a,660,0,0,0,0,0,401280,d6386aec667f80ab21b4c5192a23a243262af294f4442a67a916b66bb5763f2c,True,0
4,HistoryIdentityPopulation,1,16.290000915527344,10.336444999993546,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[500010, 501007, 502004, 503001, 503998, 504995, 505992, 506989, 507986, 508983]",e22f19850d9ffd368150cc18dcfce18ed881198cdbb4732274eb2ba7b4f44ea6,660,0,0,0,0,0,549120,b8a75020bb2456da62cd183eafde504fdd3cee5467d1bec47112a4a4ace09107,True,0
5,HistoryIdentityPopulation,1,32.41999816894531,7.492282099992735,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[600013, 601010, 602007, 603004, 604001, 604998, 605995, 606992, 607989, 608986]",dec108ab3bddc195ba215513fa42218f87170fb81aa3f55e61013047af4886ce,660,0,0,0,0,0,718080,14e298278cda38ea1287dd4adb0a5ebca1b0051b456cc8490cdeec335c7688f4,True,0
6,HistoryIdentityPopulation,1,17.6200008392334,11.526852199982386,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]","[700016, 701013, 702010, 703007, 704004, 705001, 705998, 706995, 707992, 708989]",2a589299f75dc9f48b5bf8dc473cb0fb39c645bc9af3f2b430bd9e12c4cc3b78,660,0,0,0,0,0,802560,2283e5d7cb8ef22fb160ed4d20248e395067e07cdaaa2db9ccb5d98d763c9a62,True,0
7,HistoryIdentityPopulation,1,24.139999389648438,8.716881000000285,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]","[800019, 801016, 802013, 803010, 804007, 805004, 806001, 806998, 807995, 808992]",8334d2af90c834b0ce15a5af328493a8d27a0f9bc380131c06d39f189d91a950,660,0,0,0,0,0,950400,8cfec96ab52ef92d59c8b1d4112dbd90b6f178f999f8cc1f3d78155f1e05060e,True,0
8,HistoryIdentityPopulation,1,23.68000030517578,9.343197999987751,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]","[900022, 901019, 902016, 903013, 904010, 905007, 906004, 907001, 907998, 908995]",0ac5b8aa96c895ebcb3079902ee2ce786b998f818a103b57cd0b0ad8f66979d5,660,0,0,0,0,0,1140480,8e19e753811e1894f7e8e32e433d40f5a27f8101565b015210b3a34e0722ff5b,True,0
9,HistoryIdentityPopulation,1,30.1299991607666,10.046589100005804,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]","[1000025, 1001022, 1002019, 1003016, 1004013, 1005010, 1006007, 1007004, 1008001, 1008998]",c39a40875e3ecaa80fa41e132e67e6c788407cc8faf11d2f66eeeca91e0fb7d4,660,0,0,0,0,0,1182720,0e64666c96a33e2ca2be0e601f74de75ce58a88d6ec4769029ea6524e4b7eb05,True,0
10,HistoryIdentityPopulation,1,29.729999542236328,11.81194119999418,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]","[1100028, 1101025, 1102022, 1103019, 1104016, 1105013, 1106010, 1107007, 1108004, 1109001]",ef68434933199d80bb34ae08584a2e009f046e61f3635c49204e19e80e496515,660,0,0,0,0,0,1246080,d1cee68ca3c97d0d53de76c1f58330a974eb91bc17aa7f8244df6761803faaf4,True,0
11,HistoryIdentityPopulation,1,38.22999954223633,11.781863499985775,"[54, 27, 23, 37, 75, 33, 41, 46, 52, 24]","[1200031, 1201028, 1202025, 1203022, 1204019, 1205016, 1206013, 1207010, 1208007, 1209004]",1df4f27e7c01ea33e7dac5834f33f86fbef5b1f212635254837d7bbe815636cb,660,0,0,0,0,0,1330560,7af6f39f72d054b6896ef5d3e0857792ef2fe26cda75731231dbb41a83f9c69f,True,0
12,HistoryIdentityPopulation,1,36.90999984741211,9.330558999994537,"[54, 45, 28, 44, 15, 1, 93, 12, 88, 40]","[1300034, 1301031, 1302028, 1303025, 1304022, 1305019, 1306016, 1307013, 1308010, 1309007]",69f516a41de82d3c552c6771ea41db758dee008c7260acfdad1ad3dc91cfdf85,660,0,0,0,0,0,1415040,ecc891cb64c3273868d1278bf77573cac072378ba3aeed2e5c986576dd0aa296,True,0
13,HistoryIdentityPopulation,1,38.220001220703125,13.711098199972184,"[70, 75, 5, 68, 36, 79, 72, 78, 57, 44]","[1400037, 1401034, 1402031, 1403028, 1404025, 1405022, 1406019, 1407016, 1408013, 1409010]",7bc03e17d2d6ecd6d8aeeacde99452c651540a8cc851e6384a9187a84eebe014,660,0,0,0,0,0,1436160,c40b5953497e8499b63e2dc3763453da44b15ea4cdfb489bc9cdbf9a05999798,True,0
14,HistoryIdentityPopulation,1,46.650001525878906,10.254990300018108,"[41, 9, 30, 89, 40, 49, 3, 22, 8, 16]","[1500040, 1501037, 1502034, 1503031, 1504028, 1505025, 1506022, 1507019, 1508016, 1509013]",2dc67b248fee29d127c0a456fd2066ec4682a71e3ebb67b25e8debe70cc0d6b8,660,0,0,0,0,0,1499520,6eef39fc8a18cf350f754cda5cd80bef6c1e14e65dd9e248f5956ed1ebea80d1,True,0
15,HistoryIdentityPopulation,1,45.459999084472656,11.159962199977599,"[82, 28, 69, 81, 56, 71, 85, 27, 37, 66]","[1600043, 1601040, 1602037, 1603034, 1604031, 1605028, 1606025, 1607022, 1608019, 1609016]",bab4caa6987681d874f41e0f010ee2daf1e8f1dfa2463a4e6d9927566aa7a82b,660,0,0,0,0,0,1541760,5e74e93417fb47f3adbb466fd09d653522f759dd71a7e9f5ed559c6c51307dc9,True,0
